Epoch [1/10000] | D: -21.3555 | G: 73.2380
Epoch [2/10000] | D: -69.0413 | G: -29.5475
Epoch [3/10000] | D: -124.5850 | G: -128.2599
Epoch [4/10000] | D: -96.6948 | G: -74.4108
Epoch [5/10000] | D: -128.5387 | G: -127.3480
Epoch [6/10000] | D: -154.1881 | G: -170.1199
Epoch [7/10000] | D: -132.7495 | G: -10.4091
Epoch [8/10000] | D: -146.6638 | G: -109.9855
Epoch [9/10000] | D: -135.6291 | G: 2.9815
Epoch [10/10000] | D: -138.8394 | G: -64.8246
Epoch [11/10000] | D: -157.9521 | G: -154.2394
Epoch [12/10000] | D: -119.5656 | G: -97.4976
Epoch [13/10000] | D: -119.2398 | G: -101.1839
Epoch [14/10000] | D: -129.0593 | G: -116.8958
Epoch [15/10000] | D: -108.4532 | G: -71.4639
Epoch [16/10000] | D: -102.6193 | G: -145.9799
Epoch [17/10000] | D: -113.9698 | G: -180.3001
Epoch [18/10000] | D: -101.2401 | G: -68.5712
Epoch [19/10000] | D: -94.8171 | G: -136.5347
Epoch [20/10000] | D: -98.0045 | G: -184.4003
Epoch [21/10000] | D: -120.6342 | G: -205.7869
Epoch [22/10000] | D: -108.3420 | G: -214.7554
Epoch [23/10000] | D: -77.8971 | G: -243.0259
Epoch [24/10000] | D: -135.5290 | G: -391.8790
Epoch [25/10000] | D: -94.6375 | G: -235.7192
Epoch [26/10000] | D: -81.4918 | G: -30.4986
Epoch [27/10000] | D: -106.3033 | G: -154.8204
Epoch [28/10000] | D: -57.7152 | G: -113.5454
Epoch [29/10000] | D: -100.8899 | G: -311.4331
Epoch [30/10000] | D: -83.2625 | G: -219.5208
Epoch [31/10000] | D: -109.3071 | G: -321.9591
Epoch [32/10000] | D: -99.0414 | G: -366.9967
Epoch [33/10000] | D: -103.6514 | G: -374.4607
Epoch [34/10000] | D: -68.2255 | G: -169.6630
Epoch [35/10000] | D: -99.6453 | G: -156.5818
Epoch [36/10000] | D: -94.6131 | G: -276.6038
