poch [1/10000] | D: -83.1568 | G: -95.0938
Epoch [2/10000] | D: -111.7122 | G: -325.8897
Epoch [3/10000] | D: -74.0639 | G: 280.2874
Epoch [4/10000] | D: -100.9150 | G: 10.8668
Epoch [5/10000] | D: -98.3319 | G: -28.8380
Epoch [6/10000] | D: -122.2273 | G: -323.8135
Epoch [7/10000] | D: -99.7469 | G: -412.7789
Epoch [8/10000] | D: -130.0385 | G: -378.3694
Epoch [9/10000] | D: -73.4821 | G: -266.8808
Epoch [10/10000] | D: -101.3322 | G: 19.2263
Epoch [11/10000] | D: -75.4351 | G: 10.9971
Epoch [12/10000] | D: -92.5839 | G: -98.1298
Epoch [13/10000] | D: -107.3657 | G: -392.4202
Epoch [14/10000] | D: -70.8583 | G: -241.5815
Epoch [15/10000] | D: -89.8333 | G: 18.2125
Epoch [16/10000] | D: -68.1562 | G: -200.8682
Epoch [17/10000] | D: -137.0503 | G: 36.8353
Epoch [18/10000] | D: -49.5088 | G: -375.0825
Epoch [19/10000] | D: -103.3016 | G: -372.9084
Epoch [20/10000] | D: -104.3131 | G: -84.3809
Epoch [21/10000] | D: -78.9767 | G: -288.4648
Epoch [22/10000] | D: -151.2720 | G: -179.1923
Epoch [23/10000] | D: -72.1033 | G: -90.6421
Epoch [24/10000] | D: -80.4165 | G: -206.9109
Epoch [25/10000] | D: -74.6381 | G: -47.8220
Epoch [26/10000] | D: -137.8628 | G: -364.4873
Epoch [27/10000] | D: -71.6381 | G: -148.0240
Epoch [28/10000] | D: -110.3760 | G: -291.8337
Epoch [29/10000] | D: -71.6083 | G: -128.3467
Epoch [30/10000] | D: -100.8655 | G: -258.1812
Epoch [31/10000] | D: -102.1043 | G: 179.8736
Epoch [32/10000] | D: -66.9979 | G: 37.3030
Epoch [33/10000] | D: -62.9190 | G: -35.3416
Epoch [34/10000] | D: -116.8197 | G: -283.4116
Epoch [35/10000] | D: -29.9259 | G: -187.5750
Epoch [36/10000] | D: -82.4460 | G: 70.0876
Epoch [37/10000] | D: -96.9557 | G: -371.0356
Epoch [38/10000] | D: -64.3739 | G: -21.3918
Epoch [39/10000] | D: -104.7549 | G: -704.5124
Epoch [40/10000] | D: -103.7242 | G: -226.0613
Epoch [41/10000] | D: -86.3757 | G: -298.3171
Epoch [42/10000] | D: -133.8309 | G: -360.0618
Epoch [43/10000] | D: -83.2463 | G: -253.2442
Epoch [44/10000] | D: -92.4463 | G: -12.3760
Epoch [45/10000] | D: -65.3008 | G: -118.5515
Epoch [46/10000] | D: -80.4628 | G: -142.3496
Epoch [47/10000] | D: -79.7956 | G: -172.6731
Epoch [48/10000] | D: -114.4653 | G: -194.1641
Epoch [49/10000] | D: -132.0996 | G: -333.6616
Epoch [50/10000] | D: -65.2443 | G: -200.9061
Epoch [51/10000] | D: -108.8380 | G: 44.1997
Epoch [52/10000] | D: -74.0737 | G: -172.0948
Epoch [53/10000] | D: -63.3941 | G: -163.4846
Epoch [54/10000] | D: -97.3649 | G: 117.9914
Epoch [55/10000] | D: -95.6683 | G: -118.7593
Epoch [56/10000] | D: -55.0423 | G: -77.2516
Epoch [57/10000] | D: -85.2963 | G: -279.3834
Epoch [58/10000] | D: -54.6718 | G: -570.7689
Epoch [59/10000] | D: -66.7005 | G: -129.2883
Epoch [60/10000] | D: -57.4743 | G: 4.6256
Epoch [61/10000] | D: -104.8900 | G: -32.7640
Epoch [62/10000] | D: -65.4350 | G: -111.2850
Epoch [63/10000] | D: -141.4926 | G: 335.0118
Epoch [64/10000] | D: -80.6587 | G: -214.0905
Epoch [65/10000] | D: -57.5048 | G: -289.4504
Epoch [66/10000] | D: -60.5814 | G: -238.9248
Epoch [67/10000] | D: -173.1847 | G: -584.8593
Epoch [68/10000] | D: -97.2198 | G: -363.1235
Epoch [69/10000] | D: -123.0872 | G: 55.0612
Epoch [70/10000] | D: -94.3376 | G: -217.2598
Epoch [71/10000] | D: -82.7042 | G: -342.7945
Epoch [72/10000] | D: -93.0638 | G: -178.3565
Epoch [73/10000] | D: -100.9704 | G: -154.7863
Epoch [74/10000] | D: -78.4486 | G: -195.4178
Epoch [75/10000] | D: -91.0865 | G: -315.7156
Epoch [76/10000] | D: -59.3921 | G: -101.3608
Epoch [77/10000] | D: -75.8906 | G: 9.8313
Epoch [78/10000] | D: -64.0789 | G: -17.6204
Epoch [79/10000] | D: -79.9103 | G: 53.7734
Epoch [80/10000] | D: -81.5995 | G: 122.9308
Epoch [81/10000] | D: -76.7485 | G: -117.2694
Epoch [82/10000] | D: -83.6783 | G: -494.8746
Epoch [83/10000] | D: -17.0224 | G: -274.3887
Epoch [84/10000] | D: -57.7162 | G: -387.8270
Epoch [85/10000] | D: -102.1216 | G: -211.7096
Epoch [86/10000] | D: -76.7572 | G: -88.0752
Epoch [87/10000] | D: -91.2468 | G: -479.1451
Epoch [88/10000] | D: -43.8810 | G: -124.6571
Epoch [89/10000] | D: -43.9949 | G: -416.8390
Epoch [90/10000] | D: -102.6381 | G: -238.5813
Epoch [91/10000] | D: -106.8474 | G: -148.6232
Epoch [92/10000] | D: -60.5280 | G: -264.5429
Epoch [93/10000] | D: -84.5965 | G: -267.6931
Epoch [94/10000] | D: -107.0123 | G: -198.1585
Epoch [95/10000] | D: -68.0897 | G: -148.0203
Epoch [96/10000] | D: -51.3885 | G: -197.1659
Epoch [97/10000] | D: -78.5795 | G: -420.9146
Epoch [98/10000] | D: -62.0998 | G: -153.2345
Epoch [99/10000] | D: -43.7143 | G: 4.0180
Epoch [100/10000] | D: -64.8049 | G: -352.9378
Váhy pro generátor a diskriminátor při epoše 100 byly uloženy.
Vizualizace mřížky pro epochu 100
Obrázek uložen do vizualizace\epoch_00100.png
Epoch [101/10000] | D: -97.0409 | G: -304.2599
Epoch [102/10000] | D: -88.5735 | G: -51.2485
Epoch [103/10000] | D: -51.5901 | G: -180.2115
Epoch [104/10000] | D: -45.8411 | G: -166.3274
Epoch [105/10000] | D: -14.7492 | G: -328.1779
Epoch [106/10000] | D: -49.6636 | G: -208.2731
Epoch [107/10000] | D: -115.2338 | G: -131.0297
Epoch [108/10000] | D: 47.2991 | G: -392.5032
Epoch [109/10000] | D: -53.5893 | G: -415.3169
Epoch [110/10000] | D: -40.1982 | G: -186.1640
Epoch [111/10000] | D: -82.2857 | G: -297.0142
Epoch [112/10000] | D: -79.1783 | G: -251.8148
Epoch [113/10000] | D: -60.9086 | G: -136.1418
Epoch [114/10000] | D: -59.5907 | G: -321.7650
Epoch [115/10000] | D: -71.0918 | G: -93.6296
Epoch [116/10000] | D: -131.6617 | G: -474.0106
Epoch [117/10000] | D: -93.3527 | G: -82.1506
Epoch [118/10000] | D: -90.1079 | G: -349.5416
Epoch [119/10000] | D: -71.3741 | G: -472.5147
Epoch [120/10000] | D: -38.8821 | G: -348.5941
Epoch [121/10000] | D: -62.4734 | G: -266.3884
Epoch [122/10000] | D: -143.7323 | G: -545.4631
Epoch [123/10000] | D: -16.6716 | G: -170.4762
Epoch [124/10000] | D: -20.2638 | G: -218.7333
Epoch [125/10000] | D: -52.7527 | G: -80.9551
Epoch [126/10000] | D: -69.1918 | G: -247.3191
Epoch [127/10000] | D: -96.6186 | G: -179.3904
Epoch [128/10000] | D: -129.4373 | G: -182.3160
Epoch [129/10000] | D: -31.1630 | G: -407.4559
Epoch [130/10000] | D: -32.3478 | G: -337.8498
Epoch [131/10000] | D: -37.7021 | G: -69.0534
Epoch [132/10000] | D: -75.9298 | G: -64.1733
Epoch [133/10000] | D: -42.7360 | G: -282.9192
Epoch [134/10000] | D: -73.3183 | G: -221.0704
Epoch [135/10000] | D: -37.2219 | G: -68.8081
Epoch [136/10000] | D: -68.7254 | G: -236.5500
Epoch [137/10000] | D: -37.7112 | G: -340.6614
Epoch [138/10000] | D: -48.3491 | G: 0.4187
Epoch [139/10000] | D: -62.2428 | G: -216.6515
Epoch [140/10000] | D: -26.1032 | G: -71.5867
Epoch [141/10000] | D: -94.3111 | G: -296.0904
Epoch [142/10000] | D: -59.6069 | G: -147.3186
Epoch [143/10000] | D: -83.8606 | G: -56.1878
Epoch [144/10000] | D: -43.3667 | G: -546.5305
