Epoch [1/10000] | D: -92.3244 | G: -92.4720
Epoch [2/10000] | D: -105.7002 | G: -262.4367
Epoch [3/10000] | D: -83.7096 | G: 35.4446
Epoch [4/10000] | D: -57.2530 | G: 221.4969
Epoch [5/10000] | D: -79.9307 | G: -48.3792
Epoch [6/10000] | D: -87.8143 | G: -75.9684
Epoch [7/10000] | D: -92.4328 | G: -55.3850
Epoch [8/10000] | D: -109.0385 | G: -145.6637
Epoch [9/10000] | D: -80.5036 | G: 79.6946
Epoch [10/10000] | D: -146.1531 | G: 60.8882
Epoch [11/10000] | D: -84.4277 | G: -40.4910
Epoch [12/10000] | D: -96.2807 | G: 33.2986
Epoch [13/10000] | D: -143.8472 | G: -138.6231
Epoch [14/10000] | D: -127.1893 | G: -149.5797
Epoch [15/10000] | D: -87.1810 | G: 5.8315
Epoch [16/10000] | D: -111.0731 | G: 48.8848
Epoch [17/10000] | D: -92.8575 | G: -156.8741
Epoch [18/10000] | D: -112.5772 | G: -124.3985
Epoch [19/10000] | D: -89.1630 | G: -100.9089
Epoch [20/10000] | D: -86.9579 | G: -33.6517
Epoch [21/10000] | D: -89.6572 | G: -118.9654
Epoch [22/10000] | D: -60.5105 | G: -34.6103
Epoch [23/10000] | D: -108.9827 | G: -88.7579
Epoch [24/10000] | D: -169.4157 | G: 152.5761
Epoch [25/10000] | D: -73.9706 | G: -94.1634
Epoch [26/10000] | D: -118.3497 | G: 68.5983
Epoch [27/10000] | D: -95.6996 | G: -123.8921
Epoch [28/10000] | D: -88.5642 | G: -139.8119
Epoch [29/10000] | D: -72.3398 | G: 32.7677
Epoch [30/10000] | D: -174.0501 | G: -54.7547
Epoch [31/10000] | D: -94.1691 | G: 0.1525
Epoch [32/10000] | D: -89.3781 | G: 96.5719
Epoch [33/10000] | D: -129.7915 | G: -39.4824
Epoch [34/10000] | D: -93.5597 | G: 59.9394
Epoch [35/10000] | D: -94.0267 | G: -16.8264
Epoch [36/10000] | D: -103.9106 | G: -32.8863
Epoch [37/10000] | D: -42.3063 | G: -47.6063
Epoch [38/10000] | D: -97.3729 | G: 36.3458
Epoch [39/10000] | D: -89.9963 | G: 112.3619
Epoch [40/10000] | D: -82.4719 | G: 111.0925
Epoch [41/10000] | D: -59.8908 | G: 9.6258
Epoch [42/10000] | D: -106.1657 | G: -0.1484
Epoch [43/10000] | D: -66.1657 | G: 147.3003
Epoch [44/10000] | D: -71.9585 | G: -30.0558
Epoch [45/10000] | D: -71.2183 | G: 2.4175
Epoch [46/10000] | D: -52.2204 | G: 12.7514
Epoch [47/10000] | D: -88.2243 | G: 112.3837
Epoch [48/10000] | D: -91.0746 | G: -154.6815
Epoch [49/10000] | D: -115.8546 | G: -16.0039
Epoch [50/10000] | D: -64.4540 | G: -136.8368
Epoch [51/10000] | D: -104.3260 | G: -229.6556
Epoch [52/10000] | D: -63.6776 | G: -82.3931
Epoch [53/10000] | D: -68.1207 | G: 22.6311
Epoch [54/10000] | D: -62.1088 | G: 33.2563
Epoch [55/10000] | D: -140.5486 | G: 37.7476
Epoch [56/10000] | D: -121.1956 | G: -210.7093
Epoch [57/10000] | D: -134.7090 | G: 196.4218
Epoch [58/10000] | D: -76.8055 | G: 90.0353
Epoch [59/10000] | D: -93.1127 | G: -267.9953
Epoch [60/10000] | D: -79.1598 | G: -100.0271
Epoch [61/10000] | D: -76.3091 | G: -64.7341
Epoch [62/10000] | D: -77.2733 | G: -15.3170
Epoch [63/10000] | D: -68.8532 | G: 72.9062
Epoch [64/10000] | D: -88.6147 | G: -87.7188
Epoch [65/10000] | D: -106.0534 | G: -103.8696
Epoch [66/10000] | D: -52.6858 | G: -41.0311
Epoch [67/10000] | D: -76.9523 | G: -50.6807
Epoch [68/10000] | D: -60.0638 | G: -233.7281
Epoch [69/10000] | D: -91.9903 | G: 53.5994
Epoch [70/10000] | D: -103.4373 | G: -3.8635
Epoch [71/10000] | D: -103.1135 | G: -142.1499
Epoch [72/10000] | D: -78.9057 | G: -70.6302
Epoch [73/10000] | D: -121.4035 | G: 194.8438
Epoch [74/10000] | D: -61.4279 | G: 68.5398
Epoch [75/10000] | D: -67.1902 | G: -121.1553
Epoch [76/10000] | D: -35.6054 | G: -21.7898
Epoch [77/10000] | D: -43.3651 | G: 82.4052
Epoch [78/10000] | D: -72.0523 | G: -266.0949
Epoch [79/10000] | D: -57.5801 | G: -56.0862
Epoch [80/10000] | D: -72.7843 | G: -11.7329
Epoch [81/10000] | D: -65.0829 | G: 39.8345
Epoch [82/10000] | D: -87.6394 | G: -238.6477
Epoch [83/10000] | D: -56.3292 | G: -245.2510
Epoch [84/10000] | D: -80.3478 | G: -165.1401
Epoch [85/10000] | D: -117.5366 | G: -99.0868
Epoch [86/10000] | D: -61.1850 | G: -60.8600
Epoch [87/10000] | D: -85.4296 | G: -31.7894
Epoch [88/10000] | D: -87.1438 | G: -121.1355
Epoch [89/10000] | D: -57.3478 | G: -162.3268
Epoch [90/10000] | D: -74.6723 | G: -157.6961
Epoch [91/10000] | D: -65.9029 | G: -102.3546
Epoch [92/10000] | D: -30.6764 | G: -79.3778
Epoch [93/10000] | D: -69.8242 | G: -41.3497
Epoch [94/10000] | D: -61.7896 | G: -222.0731
Epoch [95/10000] | D: -52.8017 | G: -94.9111
Epoch [96/10000] | D: -74.6102 | G: -12.1385
Epoch [97/10000] | D: -57.4630 | G: -101.2452
Epoch [98/10000] | D: -57.5521 | G: -115.1975
Epoch [99/10000] | D: -75.0972 | G: 176.1455
Epoch [100/10000] | D: -79.2518 | G: -234.7353
Váhy pro generátor a diskriminátor při epoše 100 byly uloženy.
Vizualizace mřížky pro epochu 100
Obrázek uložen do vizualizace\epoch_00100.png
Epoch [101/10000] | D: -68.8064 | G: 31.5115
Epoch [102/10000] | D: -105.7494 | G: -51.5065
Epoch [103/10000] | D: -77.9261 | G: 135.2638
Epoch [104/10000] | D: -110.1521 | G: -154.4645
Epoch [105/10000] | D: -64.6907 | G: -211.5003
Epoch [106/10000] | D: -48.4738 | G: -38.3739
Epoch [107/10000] | D: -79.5667 | G: 87.2708
Epoch [108/10000] | D: -54.8488 | G: 7.7316
Epoch [109/10000] | D: -88.1676 | G: 88.5809
