Epoch [1/10000] | D: -81.2773 | G: 17.3363
Epoch [2/10000] | D: -91.8224 | G: -153.6496
Epoch [3/10000] | D: -117.9986 | G: -343.8545
Epoch [4/10000] | D: -118.9004 | G: -413.4239
Epoch [5/10000] | D: -143.5228 | G: -313.8200
Epoch [6/10000] | D: -155.0835 | G: -213.0326
Epoch [7/10000] | D: -109.6927 | G: 36.2906
Epoch [8/10000] | D: -173.0520 | G: -198.0513
Epoch [9/10000] | D: -192.1148 | G: -250.8066
Epoch [10/10000] | D: -172.6204 | G: -109.3953
Epoch [11/10000] | D: -208.9690 | G: -295.8598
Epoch [12/10000] | D: -174.5392 | G: -322.4089
Epoch [13/10000] | D: -142.6420 | G: -208.1331
Epoch [14/10000] | D: -144.3806 | G: -309.8574
Epoch [15/10000] | D: -104.2140 | G: -262.8426
Epoch [16/10000] | D: -133.1143 | G: -605.6978
Epoch [17/10000] | D: -118.6511 | G: -440.9017
Epoch [18/10000] | D: -138.1193 | G: -298.8065
Epoch [19/10000] | D: -94.3630 | G: -331.1673
Epoch [20/10000] | D: -168.3512 | G: -682.4930
Epoch [21/10000] | D: -163.7911 | G: -569.1752
Epoch [22/10000] | D: -114.4115 | G: -464.9057
Epoch [23/10000] | D: -96.2497 | G: -637.6702
Epoch [24/10000] | D: -98.6991 | G: -219.3860
Epoch [25/10000] | D: -115.9037 | G: -391.8945
Epoch [26/10000] | D: -120.6988 | G: -466.3462
Epoch [27/10000] | D: -108.4097 | G: -336.5599
Epoch [28/10000] | D: -133.2618 | G: -532.5524
Epoch [29/10000] | D: -132.0010 | G: -365.2000
Epoch [30/10000] | D: -124.5591 | G: -435.4732
Epoch [31/10000] | D: -168.1031 | G: -489.4918
Epoch [32/10000] | D: -94.9049 | G: -458.4715
Epoch [33/10000] | D: -147.9167 | G: -408.5528
Epoch [34/10000] | D: -62.1498 | G: -351.7611
Epoch [35/10000] | D: -70.1441 | G: -138.5497
Epoch [36/10000] | D: -107.5396 | G: -457.1515
Epoch [37/10000] | D: -83.4370 | G: -230.1669
Epoch [38/10000] | D: -79.7392 | G: -172.3532
Epoch [39/10000] | D: -77.0320 | G: -394.5185
Epoch [40/10000] | D: -105.2373 | G: -192.5243
Epoch [41/10000] | D: -112.7479 | G: -336.0583
Epoch [42/10000] | D: -96.0223 | G: -354.1226
Epoch [43/10000] | D: -97.1050 | G: -367.8155
Epoch [44/10000] | D: -115.0373 | G: -502.9443
Epoch [45/10000] | D: -121.3305 | G: -510.0637
Epoch [46/10000] | D: -71.8531 | G: -439.5472
Epoch [47/10000] | D: -55.0360 | G: -397.5847
Epoch [48/10000] | D: -84.2854 | G: -288.9933
Epoch [49/10000] | D: -78.2108 | G: -311.0210
Epoch [50/10000] | D: -106.2962 | G: -381.1661
Epoch [51/10000] | D: -81.1972 | G: -342.9189
Epoch [52/10000] | D: -99.7792 | G: -361.8757
Epoch [53/10000] | D: -57.8302 | G: -645.9602
Epoch [54/10000] | D: -58.8544 | G: -403.0855
Epoch [55/10000] | D: -100.3638 | G: -355.2312
Epoch [56/10000] | D: -71.7945 | G: -377.4668
Epoch [57/10000] | D: -3.1561 | G: -392.9008
Epoch [58/10000] | D: -61.6128 | G: -468.9769
Epoch [59/10000] | D: -95.6447 | G: -569.4772
Epoch [60/10000] | D: -41.5147 | G: -531.7094
Epoch [61/10000] | D: -64.0356 | G: -657.3318
Epoch [62/10000] | D: -99.1437 | G: -313.0174
Epoch [63/10000] | D: -89.9536 | G: -468.8213
Epoch [64/10000] | D: -58.6760 | G: -549.5486
Epoch [65/10000] | D: -64.9605 | G: -487.3236
Epoch [66/10000] | D: -121.4402 | G: -355.1096
Epoch [67/10000] | D: -50.3428 | G: -529.0778
Epoch [68/10000] | D: -89.4306 | G: -497.2073
Epoch [69/10000] | D: -38.9015 | G: -448.6432
Epoch [70/10000] | D: -107.3056 | G: -614.2488
Epoch [71/10000] | D: -103.9506 | G: -503.2173
Epoch [72/10000] | D: -63.5434 | G: -437.3766
Epoch [73/10000] | D: -49.3069 | G: -408.1434
Epoch [74/10000] | D: -95.1966 | G: -626.2940
Epoch [75/10000] | D: -39.9814 | G: -449.5977
Epoch [76/10000] | D: -13.3453 | G: -431.8423
Epoch [77/10000] | D: -33.0873 | G: -282.9893
Epoch [78/10000] | D: -49.4123 | G: -417.3018
Epoch [79/10000] | D: -29.1318 | G: -500.9474
Epoch [80/10000] | D: -33.3938 | G: -642.5114
Epoch [81/10000] | D: -45.3432 | G: -631.4501
Epoch [82/10000] | D: -83.3800 | G: -816.6296
Epoch [83/10000] | D: -70.9941 | G: -667.1945
Epoch [84/10000] | D: -47.4074 | G: -810.9858
Epoch [85/10000] | D: -45.0851 | G: -709.6108
Epoch [86/10000] | D: -66.7061 | G: -638.6310
Epoch [87/10000] | D: -5.5901 | G: -674.4033
Epoch [88/10000] | D: -66.0870 | G: -602.7013
Epoch [89/10000] | D: -28.1193 | G: -521.4404
Epoch [90/10000] | D: -104.4339 | G: -590.3278
Epoch [91/10000] | D: -31.0022 | G: -416.4134
Epoch [92/10000] | D: -65.1587 | G: -452.1912
Epoch [93/10000] | D: -89.2478 | G: -646.4684
Epoch [94/10000] | D: -54.4903 | G: -510.8047
Epoch [95/10000] | D: 9.3813 | G: -844.9794
Epoch [96/10000] | D: -76.0337 | G: -687.2011
Epoch [97/10000] | D: -77.6578 | G: -525.7350
Epoch [98/10000] | D: -36.9907 | G: -723.6069
Epoch [99/10000] | D: -75.2467 | G: -509.7618
Epoch [100/10000] | D: -37.1138 | G: -566.1922
Váhy pro generátor a diskriminátor při epoše 100 byly uloženy.
Vizualizace mřížky pro epochu 100
Obrázek uložen do vizualizace\epoch_00100.png
Epoch [101/10000] | D: -56.4616 | G: -473.5893
Epoch [102/10000] | D: -49.6886 | G: -311.1620
Epoch [103/10000] | D: -50.8076 | G: -582.9793
Epoch [104/10000] | D: -39.6950 | G: -674.2144
Epoch [105/10000] | D: -15.8490 | G: -494.7674
Epoch [106/10000] | D: -57.0157 | G: -357.2999
Epoch [107/10000] | D: -171.3710 | G: -765.6857
Epoch [108/10000] | D: -22.8966 | G: -573.7545
Epoch [109/10000] | D: -67.9523 | G: -641.9076
Epoch [110/10000] | D: -32.8463 | G: -462.7321
Epoch [111/10000] | D: -23.3012 | G: -506.6790
Epoch [112/10000] | D: -17.7040 | G: -379.2967
Epoch [113/10000] | D: -86.4345 | G: -508.0673
Epoch [114/10000] | D: -78.4521 | G: -455.8819
Epoch [115/10000] | D: -36.3135 | G: -532.4970
Epoch [116/10000] | D: -51.5794 | G: -572.4009
Epoch [117/10000] | D: -48.7933 | G: -530.5063
Epoch [118/10000] | D: -38.5526 | G: -488.0128
Epoch [119/10000] | D: -35.9866 | G: -371.6296
Epoch [120/10000] | D: -66.2185 | G: -554.1213
Epoch [121/10000] | D: -45.0878 | G: -736.6927
Epoch [122/10000] | D: -42.0788 | G: -429.7938
Epoch [123/10000] | D: -57.7886 | G: -439.7691
Epoch [124/10000] | D: -65.9202 | G: -685.2937
Epoch [125/10000] | D: -82.9418 | G: -459.7787
Epoch [126/10000] | D: -56.9320 | G: -376.6725
Epoch [127/10000] | D: -5.3091 | G: -504.3024
Epoch [128/10000] | D: -68.8984 | G: -609.0945
Epoch [129/10000] | D: -82.3578 | G: -658.9678
