Epoch [1/10000] | D: -130.8439 | G: -275.5313
Epoch [2/10000] | D: -87.6848 | G: -103.4696
Epoch [3/10000] | D: -96.7279 | G: -61.7575
Epoch [4/10000] | D: -97.1689 | G: -121.8444
Epoch [5/10000] | D: -118.8494 | G: -236.2878
Epoch [6/10000] | D: -81.1508 | G: 14.5420
Epoch [7/10000] | D: -120.4210 | G: -154.2920
Epoch [8/10000] | D: -132.0907 | G: 35.6547
Epoch [9/10000] | D: -98.5137 | G: -13.9398
Epoch [10/10000] | D: -87.3349 | G: -187.8653
Epoch [11/10000] | D: -67.2462 | G: 46.8480
Epoch [12/10000] | D: -78.4975 | G: -169.2986
Epoch [13/10000] | D: -125.9636 | G: -135.3371
Epoch [14/10000] | D: -62.8697 | G: 47.8248
Epoch [15/10000] | D: -59.6410 | G: -78.9766
Epoch [16/10000] | D: -78.7367 | G: 62.7121
Epoch [17/10000] | D: -69.9158 | G: -18.8569
Epoch [18/10000] | D: -67.7739 | G: -33.0330
Epoch [19/10000] | D: -68.6249 | G: 156.0582
Epoch [20/10000] | D: -122.1399 | G: -104.9700
Epoch [21/10000] | D: -109.2602 | G: -172.0396
Epoch [22/10000] | D: -107.0279 | G: -97.1073
Epoch [23/10000] | D: -55.4459 | G: -82.8888
Epoch [24/10000] | D: -77.7955 | G: -141.4993
Epoch [25/10000] | D: -104.4812 | G: -95.9948
Epoch [26/10000] | D: -27.0398 | G: -85.1233
Epoch [27/10000] | D: -78.5422 | G: -111.3095
Epoch [28/10000] | D: -35.8157 | G: -11.8323
Epoch [29/10000] | D: -66.3736 | G: -56.7546
Epoch [30/10000] | D: -21.5709 | G: 26.3399
Epoch [31/10000] | D: -35.2817 | G: -49.7365
Epoch [32/10000] | D: -94.4152 | G: 83.8979
Epoch [33/10000] | D: -111.9005 | G: -229.8659
Epoch [34/10000] | D: -46.5541 | G: 37.0203
Epoch [35/10000] | D: -42.5255 | G: -225.9911
Epoch [36/10000] | D: -96.4923 | G: 104.1888
Epoch [37/10000] | D: -72.5967 | G: -22.4785
Epoch [38/10000] | D: -98.5685 | G: 207.9391
Epoch [39/10000] | D: -67.7169 | G: -131.6444
Epoch [40/10000] | D: -82.2527 | G: 46.6529
Epoch [41/10000] | D: -24.5542 | G: 26.4156
