Epoch [1/10000] | D: -89.5900 | G: -27.3312
Epoch [2/10000] | D: -133.3052 | G: -17.8416
Epoch [3/10000] | D: -84.7596 | G: -44.0539
Epoch [4/10000] | D: -131.7684 | G: -186.8346
Epoch [5/10000] | D: -68.5511 | G: 3.8508
Epoch [6/10000] | D: -69.2406 | G: 60.4088
Epoch [7/10000] | D: -69.4507 | G: -23.3876
Epoch [8/10000] | D: -76.8977 | G: -61.4383
Epoch [9/10000] | D: -49.7519 | G: 50.8715
Epoch [10/10000] | D: -74.7480 | G: -22.8823
Epoch [11/10000] | D: -64.1925 | G: -50.7147
Epoch [12/10000] | D: -59.3176 | G: 12.5469
Epoch [13/10000] | D: -61.1010 | G: -162.6186
Epoch [14/10000] | D: -71.4574 | G: -35.3685
Epoch [15/10000] | D: -36.1898 | G: -7.0210
Epoch [16/10000] | D: -78.7988 | G: -130.2873
Epoch [17/10000] | D: -80.9681 | G: -285.5020
Epoch [18/10000] | D: -63.9529 | G: -137.5347
Epoch [19/10000] | D: -51.9333 | G: -170.6342
Epoch [20/10000] | D: -67.5116 | G: -5.6925
Epoch [21/10000] | D: -60.6391 | G: -107.8009
Epoch [22/10000] | D: -56.3834 | G: -66.6313
Epoch [23/10000] | D: -61.6490 | G: -157.4388
Epoch [24/10000] | D: -63.0046 | G: -132.4798
Epoch [25/10000] | D: -55.1482 | G: -88.5842
Epoch [26/10000] | D: -56.9075 | G: -116.9522
Epoch [27/10000] | D: -47.0122 | G: -155.6284
Epoch [28/10000] | D: -50.8266 | G: -89.5627
Epoch [29/10000] | D: -66.5381 | G: -128.8734
Epoch [30/10000] | D: -52.1867 | G: -201.9636
Epoch [31/10000] | D: -53.7560 | G: -99.2787
Epoch [32/10000] | D: -78.3653 | G: -82.1639
Epoch [33/10000] | D: -52.3993 | G: -54.8557
Epoch [34/10000] | D: -46.4856 | G: -155.1260
Epoch [35/10000] | D: -64.6444 | G: -139.5733
Epoch [36/10000] | D: -63.9375 | G: -92.8745
Epoch [37/10000] | D: -68.2287 | G: 0.4739
